680;52
74;29
793;67
7378;27
4607;89
86;74
0;53
94;45
202;5
9759;37
754;81
79692;41
0;85
2;46
1;22
65893;81
767;65
2340;8
1;89
0986;1
15244;86
0;55
269;68
31;79
6;42
29;92
463;47
9415;15
0;8
1;14
23098;9
635;78
53;4
5468;77
671;84
2470;9
87408;61
932;81
8;98
6637;75
391;100
58;39
3;27
38202;34
3;5
01;64
43;82
2735;9
3498;37
9880;76
273;46
2241;41
4397;46
71;43
94;100
749;67
24;54
9;61
87;76
59;47
67;64
42;24
0825;94
85039;11
90;32
35;79
3;8
3;59
48;23
7588;35
4;34
9;81
3;3
66112;35
49590;26
1;23
2605;51
29076;54
4471;86
8675;78
64089;76
404;1
2;79
6265;32
0319;65
61;4
420;25
038;61
1432;9
4385;49
6;76
9;16
12655;43
26;68
5996;100
553;54
5;79
312;65
512;55
242;63
2;7
256;98
1;65
8;73
011;63
718;53
2028;4
387;36
1685;19
8;91
472;46
60279;51
5254;19
2;81
5102;12
22994;86
3777;2
311;70
0;70
943;76
94781;61
746;24
9578;11
35754;61
2920;88
3864;53
44888;74
04702;78
0974;76
7330;79
8;99
9882;96
67348;96
81559;4
48;63
8736;90
26219;28
745;33
9;2
32903;92
09;99
52019;36
38;93
3;99
5;95
27652;26
21;6
13;17
5;68
88681;9
1590;98
73;71
60;97
4673;30
69;69
56427;68
239;54
82024;11
9;14
9;32
84;29
0219;46
6746;30
7017;58
18;56
97;52
09071;48
793;12
6;15
818;16
25219;7
73587;81
96182;61
74;8
899;45
3;86
579;60
6;33
7;26
145;49
03400;72
58;58
8;50
2;43
119;88
3;82
7795;70
2082;100
02617;38
495;20
526;78
67;39
4;17
59406;91
37974;92
47421;79
9;49
521;70
10909;85
23;11
52;15
8178;90
3913;49
277;25
3;33
7;76
300;53
6838;81
8;74
606;20
1;57
64;58
59;99
09094;45
7;95
3175;81
15925;24
395;48
7348;30
0172;32
44;53
5814;55
245;17
54639;74
28;33
898;97
95687;36
6;90
25;97
00;38
45;97
957;42
655;93
8;59
915;18
3427;25
84;98
77;77
9326;84
416;41
92;93
189;39
579;70
95;76
0;61
65793;94
09663;47
47945;7
77733;42
4;72
00099;8
32;63
4850;12
42809;95
159;42
70989;63
64;72
1;88
131;34
078;18
72;55
910;71
48;6
79386;75
385;47
81;32
82;48
3568;25
4727;100
25662;9
23009;6
055;53
7;15
951;27
46;46
8359;89
3723;5
754;14
0;95
09;91
8535;76
11829;30
2189;20
7;100
612;98
54741;62
3641;55
82;36
1;18
50;82
2;4
81;68
8875;85
87;5
024;64
2;85
09;12
1;64
544;40
2760;65
68;71
6860;39
21;17
5746;99
93731;13
465;86
9;78
31;23
8926;76
88055;68
396;63
109;37
484;35
44676;47
38161;23
196;44
5;4
8;94
451;6
65742;9
3;94
3319;9
16;24
867;81
9319;95
56;80
8711;88
476;51
5;48
54;45
209;65
01708;61
9578;74
9910;49
31;72
4559;16
24677;59
09669;53
46530;17
629;72
2;32
173;59
92;6
183;5
57;84
10;37
4;55
462;71
3888;49
58258;47
594;74
348;96
7;31
5;88
9;4
107;73
54;23
621;7
22124;96
661;51
658;90
3028;27
918;69
26;34
6794;2
03645;80
12079;61
05;96
447;41
3;40
36016;87
85;59
6189;1
781;96
8;16
49567;99
071;86
3;79
6;52
786;57
4;57
915;69
27;11
20924;67
96332;89
1;87
13468;35
61;55
0529;20
6425;86
054;11
248;10
8986;10
42935;71
91;44
1515;18
11667;87
63566;8
3;48
16864;8
6;98
67018;32
7;77
58;97
50912;55
9;27
8;82
06;40
8177;100
7;7
87939;55
1423;36
8505;18
200;62
5;48
82;7
892;71
15;92
654;77
31;95
04347;23
2;41
47872;67
6;82
7173;87
29;92
6953;34
65;24
78820;73
8721;90
42;80
1;65
6;31
5494;34
4;26
982;68
7;43
35;9
53;31
96;57
6;93
40;85
1092;89
5882;88
68;2
1;65
9070;90
670;72
6;56
67169;75
78461;12
0;48
171;74
23;46
39;62
397;22
62823;27
36;46
351;26
6277;99
1;88
6;28
8;39
810;11
4;55
796;12
033;52
5;9
562;41
07;55
37788;17
52;24
98450;67
46;50
473;39
34;90
0;97
3005;33
8;31
17;88
00513;95
51178;6
40486;64
43;52
699;43
949;13
90159;60
6034;7
5;57
3667;58
47518;88
5;55
4250;92
9;45
815;96
25;55
48;60
7518;13
946;60
39;50
40;35
464;80
36236;94
9810;91
75361;36
1971;73
17311;72
657;2
6;26
33;73
251;33
54;77
4;37
99049;61
56047;37
9;58
3037;33
84;74
4493;58
756;97
3;83
041;94
2;86
355;12
2422;4
55054;72
10;82
523;4
6;4
37594;89
23606;27
937;20
98;12
092;84
545;9
11;46
3;47
7;53
5;94
1668;12
98562;59
88865;58
762;82
98769;87
341;49
15009;95
5;54
0;60
7688;53
47;77
9413;63
88982;72
860;68
3226;51
5879;86
854;61
85;27
378;80
15049;48
046;27
95;93
58097;2
96;69
24288;17
2;21
609;49
84971;35
2;48
89;74
548;13
18951;9
5600;55
284;72
5850;26
46517;60
607;45
7331;38
03;30
58122;87
9067;97
2;57
7007;95
9074;62
9;48
0;46
68;99
8411;65
27462;99
958;44
20104;13
59;24
3;14
541;4
64192;7
9;63
061;47
42335;11
294;65
09;35
519;33
142;49
775;51
26;47
5250;20
28049;72
99;64
5840;17
41;28
0825;11
78;51
49634;41
90178;60
149;97
22993;60
451;27
91;41
3;5
2;43
6;16
8;43
59;10
68968;25
251;68
991;48
73651;58
851;1
1;49
8676;39
04;72
306;86
55;29
699;44
4;57
52;46
69331;56
0;78
4;80
1;42
04;63
6009;60
54;81
32846;57
62;57
1512;13
2;17
13448;90
0;37
3881;39
11;42
8354;7
502;93
73729;95
513;13
70968;1
3;1
18204;12
6;17
596;38
57;73
49163;76
1;9
8826;65
7379;88
8918;2
7;70
07171;84
686;90
10;55
3907;63
4;53
5020;82
6720;66
3;41
7046;12
5;2
5;73
136;88
09686;98
931;24
3;23
3;96
0998;77
68211;76
5795;45
23;82
74994;90
3;16
7;28
26356;30
19;78
47;72
8236;91
3;53
22;83
299;40
1;25
38229;34
837;21
4;23
4;30
301;33
289;21
41;44
3269;72
22;23
1;12
66;68
7;67
3;78
75;10
5;57
48458;6
3864;94
